subject,predicate,object,subject_type,predicate_type,object_type
U0001,WORKS_IN,D008,Person,FOLLOWS,Department
U0002,WORKS_IN,D004,Person,DEPENDS_ON,Department
U0003,WORKS_IN,D003,Person,MANAGES,Department
U0004,WORKS_IN,D003,Person,PART_OF,Department
U0005,WORKS_IN,D002,Person,MEMBER_OF,Department
U0006,WORKS_IN,D003,Person,ASSIGNED_TO,Department
U0007,WORKS_IN,D001,Person,ASSIGNED_TO,Department
U0008,WORKS_IN,D001,Person,BELONGS_TO,Department
U0009,WORKS_IN,D003,Person,BELONGS_TO,Department
U0010,WORKS_IN,D006,Person,REPORTS_TO,Department
U0011,WORKS_IN,D001,Person,MEMBER_OF,Department
U0012,WORKS_IN,D003,Person,SPONSORS,Department
U0013,WORKS_IN,D008,Person,ASSIGNED_TO,Department
U0014,WORKS_IN,D006,Person,AUTHORED_BY,Department
U0015,WORKS_IN,D008,Person,SPONSORS,Department
U0016,WORKS_IN,D008,Person,RELATED_TO,Department
U0017,WORKS_IN,D002,Person,REFERENCES,Department
U0018,WORKS_IN,D006,Person,PART_OF,Department
U0019,WORKS_IN,D008,Person,MEMBER_OF,Department
U0020,WORKS_IN,D007,Person,SPONSORS,Department
U0021,WORKS_IN,D005,Person,AUTHORED_BY,Department
U0021,REPORTS_TO,U0015,Person,DEPENDS_ON,Person
U0022,WORKS_IN,D008,Person,DEPENDS_ON,Department
U0022,REPORTS_TO,U0010,Person,DEPENDS_ON,Person
U0023,WORKS_IN,D005,Person,REFERENCES,Department
U0023,REPORTS_TO,U0015,Person,MANAGES,Person
U0024,WORKS_IN,D005,Person,RELATED_TO,Department
U0024,REPORTS_TO,U0018,Person,MANAGES,Person
U0025,WORKS_IN,D002,Person,PART_OF,Department
U0025,REPORTS_TO,U0004,Person,REPORTS_TO,Person
U0026,WORKS_IN,D004,Person,REFERENCES,Department
U0026,REPORTS_TO,U0020,Person,AUTHORED_BY,Person
U0027,WORKS_IN,D002,Person,DEPENDS_ON,Department
U0027,REPORTS_TO,U0025,Person,AUTHORED_BY,Person
U0028,WORKS_IN,D006,Person,MANAGES,Department
U0028,REPORTS_TO,U0002,Person,REPORTS_TO,Person
U0029,WORKS_IN,D002,Person,RELATED_TO,Department
U0029,REPORTS_TO,U0011,Person,WORKS_IN,Person
U0030,WORKS_IN,D005,Person,ASSIGNED_TO,Department
U0030,REPORTS_TO,U0028,Person,MEMBER_OF,Person
U0031,WORKS_IN,D003,Person,SPONSORS,Department
U0031,REPORTS_TO,U0005,Person,MANAGES,Person
U0032,WORKS_IN,D006,Person,SPONSORS,Department
U0032,REPORTS_TO,U0011,Person,FOLLOWS,Person
U0033,WORKS_IN,D003,Person,ASSIGNED_TO,Department
U0033,REPORTS_TO,U0021,Person,DEPENDS_ON,Person
U0034,WORKS_IN,D004,Person,BELONGS_TO,Department
U0034,REPORTS_TO,U0009,Person,WORKS_IN,Person
U0035,WORKS_IN,D007,Person,BELONGS_TO,Department
U0035,REPORTS_TO,U0015,Person,DEPENDS_ON,Person
U0036,WORKS_IN,D004,Person,ASSIGNED_TO,Department
U0036,REPORTS_TO,U0007,Person,MANAGES,Person
U0037,WORKS_IN,D003,Person,DEPENDS_ON,Department
U0037,REPORTS_TO,U0036,Person,RELATED_TO,Person
U0038,WORKS_IN,D003,Person,AUTHORED_BY,Department
U0038,REPORTS_TO,U0022,Person,REPORTS_TO,Person
U0039,WORKS_IN,D007,Person,BELONGS_TO,Department
U0039,REPORTS_TO,U0032,Person,SPONSORS,Person
U0040,WORKS_IN,D003,Person,ASSIGNED_TO,Department
U0040,REPORTS_TO,U0022,Person,FOLLOWS,Person
U0041,WORKS_IN,D003,Person,SPONSORS,Department
U0041,REPORTS_TO,U0023,Person,REFERENCES,Person
U0042,WORKS_IN,D004,Person,REPORTS_TO,Department
U0042,REPORTS_TO,U0020,Person,MEMBER_OF,Person
U0043,WORKS_IN,D003,Person,AUTHORED_BY,Department
U0043,REPORTS_TO,U0027,Person,SPONSORS,Person
U0044,WORKS_IN,D006,Person,MANAGES,Department
U0044,REPORTS_TO,U0014,Person,WORKS_IN,Person
U0045,WORKS_IN,D008,Person,REFERENCES,Department
U0045,REPORTS_TO,U0010,Person,BELONGS_TO,Person
U0046,WORKS_IN,D007,Person,RELATED_TO,Department
U0046,REPORTS_TO,U0014,Person,MEMBER_OF,Person
U0047,WORKS_IN,D008,Person,BELONGS_TO,Department
U0047,REPORTS_TO,U0002,Person,FOLLOWS,Person
U0048,WORKS_IN,D006,Person,WORKS_IN,Department
U0048,REPORTS_TO,U0002,Person,PART_OF,Person
U0049,WORKS_IN,D002,Person,REPORTS_TO,Department
U0049,REPORTS_TO,U0025,Person,MEMBER_OF,Person
U0050,WORKS_IN,D003,Person,ASSIGNED_TO,Department
U0050,REPORTS_TO,U0010,Person,ASSIGNED_TO,Person
U0051,WORKS_IN,D005,Person,ASSIGNED_TO,Department
U0051,REPORTS_TO,U0017,Person,SPONSORS,Person
U0052,WORKS_IN,D004,Person,DEPENDS_ON,Department
U0052,REPORTS_TO,U0027,Person,DEPENDS_ON,Person
U0053,WORKS_IN,D005,Person,RELATED_TO,Department
U0053,REPORTS_TO,U0020,Person,AUTHORED_BY,Person
U0054,WORKS_IN,D003,Person,MANAGES,Department
U0054,REPORTS_TO,U0047,Person,FOLLOWS,Person
U0055,WORKS_IN,D008,Person,PART_OF,Department
U0055,REPORTS_TO,U0026,Person,REFERENCES,Person
U0056,WORKS_IN,D002,Person,FOLLOWS,Department
U0056,REPORTS_TO,U0049,Person,MEMBER_OF,Person
U0057,WORKS_IN,D004,Person,SPONSORS,Department
U0057,REPORTS_TO,U0047,Person,MEMBER_OF,Person
U0058,WORKS_IN,D002,Person,DEPENDS_ON,Department
U0058,REPORTS_TO,U0049,Person,PART_OF,Person
U0059,WORKS_IN,D008,Person,WORKS_IN,Department
U0059,REPORTS_TO,U0020,Person,BELONGS_TO,Person
U0060,WORKS_IN,D006,Person,REFERENCES,Department
U0060,REPORTS_TO,U0029,Person,WORKS_IN,Person
U0061,WORKS_IN,D005,Person,REFERENCES,Department
U0061,REPORTS_TO,U0028,Person,SPONSORS,Person
U0062,WORKS_IN,D002,Person,RELATED_TO,Department
U0062,REPORTS_TO,U0038,Person,PART_OF,Person
U0063,WORKS_IN,D005,Person,DEPENDS_ON,Department
U0063,REPORTS_TO,U0053,Person,RELATED_TO,Person
U0064,WORKS_IN,D004,Person,SPONSORS,Department
U0064,REPORTS_TO,U0017,Person,RELATED_TO,Person
U0065,WORKS_IN,D008,Person,FOLLOWS,Department
U0065,REPORTS_TO,U0003,Person,REPORTS_TO,Person
U0066,WORKS_IN,D006,Person,DEPENDS_ON,Department
U0066,REPORTS_TO,U0044,Person,WORKS_IN,Person
